"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
Burkina Faso,114,,4.0,,7.0,103,,5.0,0.2
Réunion,111,17.0,,,1.0,110,,124.0,
Brunei,109,5.0,,,2.0,107,1.0,249.0,
Sri Lanka,102,,,,3.0,99,2.0,5.0,
Oman,99,15.0,,,17.0,82,,19.0,
Senegal,99,13.0,,,9.0,90,,6.0,
Cambodia,96,5.0,,,10.0,86,1.0,6.0,
Azerbaijan,93,6.0,2.0,1.0,10.0,81,6.0,9.0,0.2
Venezuela,91,7.0,,,15.0,76,2.0,3.0,
Belarus,86,5.0,,,29.0,57,2.0,9.0,
Afghanistan,84,10.0,2.0,1.0,2.0,80,,2.0,0.05
Kazakhstan,80,8.0,,,,80,,4.0,
Cameroon,75,9.0,1.0,,2.0,72,,3.0,0.04
Georgia,75,5.0,,,10.0,65,1.0,19.0,
Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0
Ivory Coast,73,,,,2.0,71,,3.0,
Ghana,68,15.0,3.0,1.0,,65,,2.0,0.1
Palestine,64,4.0,1.0,1.0,16.0,47,,13.0,0.2
Trinidad and Tobago,60,3.0,,,,60,,43.0,
Uzbekistan,60,10.0,,,,60,4.0,2.0,
Cuba,57,9.0,1.0,,1.0,55,2.0,5.0,0.09
Martinique,57,,1.0,,,56,7.0,152.0,3.0
Montenegro,52,5.0,1.0,,,51,,83.0,2.0
Liechtenstein,51,,,,,51,,1338.0,
DRC,48,3.0,2.0,,,46,,0.5,0.02
Mauritius,48,6.0,2.0,,,46,1.0,38.0,2.0
Nigeria,46,2.0,1.0,,2.0,43,,0.2,0.0
Kyrgyzstan,44,2.0,,,,44,,7.0,
Rwanda,40,,,,,40,,3.0,
Bangladesh,39,,5.0,1.0,7.0,27,,0.2,0.03
Channel Islands,39,3.0,,,,39,,224.0,
Paraguay,37,10.0,3.0,1.0,,34,1.0,5.0,0.4
Honduras,36,6.0,,,,36,,4.0,
Mayotte,36,,,,,36,,132.0,
Bolivia,32,3.0,,,,32,,3.0,
Macao,30,1.0,,,10.0,20,,46.0,
Kenya,28,3.0,,,1.0,27,,0.5,
Monaco,27,4.0,,,1.0,26,,688.0,
Gibraltar,26,11.0,,,5.0,21,,772.0,
Jamaica,25,4.0,1.0,,2.0,22,,8.0,0.3
French Polynesia,25,,,,,25,,89.0,
Guatemala,24,3.0,1.0,,4.0,19,,1.0,0.06
French Guiana,23,,,,6.0,17,,77.0,
Isle of Man,23,,,,,23,,270.0,
Togo,23,3.0,,,1.0,22,,3.0,
Madagascar,19,2.0,,,,19,,0.7,
Barbados,18,,,,,18,,63.0,
Aruba,17,,,,1.0,16,,159.0,
New Caledonia,14,4.0,,,,14,,49.0,
Uganda,14,5.0,,,,14,,0.3,
Maldives,13,,,,8.0,5,,24.0,
Ethiopia,12,,,,,12,,0.1,
Tanzania,12,,,,,12,,0.2,
Zambia,12,9.0,,,,12,,0.7,
Djibouti,11,8.0,,,,11,,11.0,
Mongolia,10,,,,,10,,3.0,
El Salvador,9,4.0,,,,9,,1.0,
Equatorial Guinea,9,,,,,9,,6.0,
Saint Martin,8,,,,,8,,207.0,
Suriname,8,1.0,,,,8,,14.0,
Niger,7,4.0,1.0,1.0,,6,,0.3,0.04
Dominica,7,,,,,7,,97.0,
Haiti,7,,,,,7,,0.6,
Namibia,7,,,,2.0,5,,3.0,
Seychelles,7,,,,,7,,71.0,
Cayman Islands,6,,1.0,,,5,,91.0,15.0
Curaçao,6,,1.0,,,5,,37.0,6.0
Gabon,6,,1.0,,,5,,3.0,0.4
Benin,6,,,,,6,,0.5,
Bermuda,6,,,,,6,,96.0,
Greenland,6,1.0,,,2.0,4,,106.0,
Guyana,5,,1.0,,,4,,6.0,1.0
Bahamas,5,,,,1.0,4,,13.0,
Fiji,5,1.0,,,,5,,6.0,
Mozambique,5,2.0,,,,5,,0.2,
Syria,5,4.0,,,,5,,0.3,
Cabo Verde,4,1.0,1.0,,,3,,7.0,2.0
Congo,4,,,,,4,,0.7,
Guinea,4,,,,,4,,0.3,
Vatican City,4,,,,,4,,4994.0,
Eswatini,4,,,,,4,,3.0,
Gambia,3,,1.0,,,2,,1.0,0.4
Sudan,3,,1.0,,,2,,0.07,0.02
Zimbabwe,3,,1.0,,,2,,0.2,0.07
Nepal,3,1.0,,,1.0,2,,0.1,
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31.0,
CAR,3,,,,,3,,0.6,
Chad,3,,,,,3,,0.2,
Laos,3,1.0,,,,3,,0.4,
Liberia,3,,,,,3,,0.6,
Myanmar,3,,,,,3,,0.06,
St. Barth,3,,,,,3,,304.0,
Saint Lucia,3,,,,,3,,16.0,
Sint Maarten,3,1.0,,,,3,,70.0,
Bhutan,2,,,,,2,,3.0,
Guinea-Bissau,2,2.0,,,,2,,1.0,
Mali,2,2.0,,,,2,,0.1,
Mauritania,2,,,,,2,,0.4,
Nicaragua,2,,,,,2,,0.3,
Belize,1,,,,,1,,3.0,
Eritrea,1,,,,,1,,0.3,
Grenada,1,,,,,1,,9.0,
Libya,1,,,,,1,,0.1,
Montserrat,1,,,,,1,,200.0,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9.0,
Somalia,1,,,,,1,,0.06,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26.0,
Total:,460528,38001.0,20831.0,1941.0,113797.0,325900,14196.0,59.1,2.7
