"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Malta,18,6.0,,,1.0,17,,
Azerbaijan,15,,1.0,,3.0,11,,1.5
North Macedonia,13,,,,1.0,12,,6.2
Moldova,12,6.0,,,,12,,3.0
Afghanistan,11,4.0,,,,11,,0.3
Dominican Republic,11,6.0,,,,11,,1.0
Macao,10,,,,10.0,0,,
Sri Lanka,10,4.0,,,1.0,9,,0.5
Bolivia,10,,,,,10,,0.9
Maldives,10,1.0,,,,10,,
Martinique,10,7.0,,,,10,,
Lithuania,9,3.0,,,1.0,8,,3.3
Faeroe Islands,9,6.0,,,,9,,
Jamaica,8,,,,,8,,2.7
Cambodia,7,,,,1.0,6,,0.4
New Zealand,7,1.0,,,,7,,1.5
French Guiana,7,1.0,,,,7,,
Paraguay,7,1.0,,,,7,1.0,1.0
Kazakhstan,6,2.0,,,,6,,0.3
Réunion,6,1.0,,,,6,,
Turkey,6,1.0,,,,6,,0.1
Bangladesh,5,2.0,,,2.0,3,,
Cuba,4,,,,,4,,0.4
Liechtenstein,4,,,,,4,,
Uruguay,4,,,,,4,,1.2
Ukraine,3,,1.0,,,2,,0.1
Channel Islands,3,,,,,3,,
French Polynesia,3,,,,,3,,
Guadeloupe,3,2.0,,,,3,,
Honduras,3,1.0,,,,3,,0.3
Puerto Rico,3,,,,,3,,1.0
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Aruba,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
Ivory Coast,2,1.0,,,,2,,0.1
Curaçao,2,1.0,,,,2,,
DRC,2,,,,,2,,
Ghana,2,,,,,2,,0.1
Namibia,2,2.0,,,,2,,0.8
Saint Martin,2,,,,,2,,
Seychelles,2,2.0,,,,2,,
Trinidad and Tobago,2,1.0,,,,2,,1.4
Venezuela,2,,,,,2,,0.1
Guyana,1,,1.0,,,0,,
Sudan,1,,1.0,,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,1.0,0,,0.1
Nepal,1,,,,1.0,0,,
Antigua and Barbuda,1,,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,,,,,1,,
Ethiopia,1,,,,,1,,
Gabon,1,,,,,1,,0.4
Gibraltar,1,,,,1.0,0,,
Guatemala,1,,,,,1,,0.1
Guinea,1,,,,,1,,0.1
Vatican City,1,,,,,1,,
Kenya,1,,,,,1,,
Mauritania,1,,,,,1,,0.2
Mayotte,1,1.0,,,,1,,
Mongolia,1,,,,,1,,0.3
Rwanda,1,1.0,,,,1,,0.1
St. Barth,1,,,,,1,,
Saint Lucia,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Suriname,1,,,,,1,,
Eswatini,1,1.0,,,,1,,0.9
Togo,1,,,,,1,,0.1
U.S. Virgin Islands,1,1.0,,,,1,,
Total:,156520,11038.0,5835.0,406.0,75919.0,74766,5888.0,20.1
