"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
Armenia,249,14.0,,,4.0,245,6.0,84.0,
UAE,248,50.0,2.0,,41.0,205,2.0,25.0,0.2
Bulgaria,218,17.0,3.0,,3.0,212,8.0,31.0,0.4
Taiwan,216,21.0,2.0,,29.0,185,,9.0,0.08
Slovakia,204,18.0,,,7.0,197,2.0,37.0,
Lithuania,203,24.0,1.0,,1.0,201,1.0,75.0,0.4
Latvia,197,17.0,,,1.0,196,,104.0,
Kuwait,191,2.0,,,39.0,152,5.0,45.0,
San Marino,187,,21.0,1.0,4.0,162,12.0,5511.0,619.0
Hungary,187,20.0,9.0,1.0,21.0,157,6.0,19.0,0.9
Andorra,164,31.0,1.0,,1.0,162,7.0,2123.0,13.0
Uruguay,162,,,,,162,3.0,47.0,
Costa Rica,158,,2.0,,2.0,154,2.0,31.0,0.4
New Zealand,155,53.0,,,12.0,143,,32.0,
Bosnia and Herzegovina,153,17.0,2.0,1.0,2.0,149,1.0,47.0,0.6
North Macedonia,148,12.0,2.0,,1.0,145,1.0,71.0,1.0
Morocco,143,,4.0,,5.0,134,1.0,4.0,0.1
Vietnam,134,11.0,,,17.0,117,3.0,1.0,
Jordan,127,,,,1.0,126,,12.0,
Moldova,125,16.0,1.0,,2.0,122,10.0,31.0,0.2
Albania,123,19.0,5.0,1.0,10.0,108,2.0,43.0,2.0
Faeroe Islands,122,4.0,,,23.0,99,,2497.0,
Cyprus,116,,1.0,,3.0,112,3.0,96.0,0.8
Burkina Faso,114,15.0,4.0,,7.0,103,,5.0,0.2
Tunisia,114,25.0,3.0,,1.0,110,11.0,10.0,0.3
Malta,110,3.0,,,2.0,108,1.0,249.0,
Brunei,104,13.0,,,2.0,102,2.0,238.0,
Sri Lanka,102,5.0,,,2.0,100,2.0,5.0,
Ukraine,97,24.0,3.0,,1.0,93,,2.0,0.07
Cambodia,91,4.0,,,4.0,87,1.0,5.0,
Azerbaijan,87,15.0,1.0,,10.0,76,6.0,9.0,0.1
Senegal,86,7.0,,,8.0,78,,5.0,
Oman,84,18.0,,,17.0,67,,16.0,
Venezuela,84,,,,15.0,69,2.0,3.0,
Belarus,81,,,,22.0,59,,9.0,
Réunion,75,4.0,,,1.0,74,,84.0,
Afghanistan,74,34.0,1.0,,1.0,72,,2.0,0.03
Georgia,70,9.0,,,9.0,61,1.0,18.0,
Kazakhstan,68,6.0,,,,68,,4.0,
Cameroon,66,10.0,,,2.0,64,,2.0,
Guadeloupe,62,,1.0,,,61,4.0,155.0,2.0
Palestine,60,1.0,,,16.0,44,,12.0,
Martinique,53,,1.0,,,52,7.0,141.0,3.0
Trinidad and Tobago,53,2.0,,,,53,,38.0,
Ghana,52,25.0,2.0,,,50,,2.0,0.06
Liechtenstein,51,,,,,51,,1338.0,
Uzbekistan,50,4.0,,,,50,,1.0,
Cuba,48,8.0,1.0,,,47,2.0,4.0,0.09
DRC,45,9.0,2.0,,,43,,0.5,0.02
Mauritius,42,6.0,2.0,,,40,1.0,33.0,2.0
Nigeria,42,2.0,1.0,,2.0,39,,0.2,0.0
Kyrgyzstan,42,26.0,,,,42,,6.0,
Bangladesh,39,6.0,4.0,1.0,5.0,30,,0.2,0.02
Puerto Rico,39,8.0,2.0,,1.0,36,,14.0,0.7
Channel Islands,36,,,,,36,,207.0,
Mayotte,36,12.0,,,,36,,132.0,
Rwanda,36,,,,,36,,3.0,
Guam,32,3.0,1.0,,,31,,190.0,6.0
Honduras,30,,,,,30,,3.0,
Montenegro,29,2.0,1.0,,,28,,46.0,2.0
Bolivia,28,1.0,,,,28,,2.0,
Paraguay,27,5.0,2.0,1.0,,25,1.0,4.0,0.3
Macao,26,1.0,,,10.0,16,,40.0,
Ivory Coast,25,,,,2.0,23,,0.9,
Kenya,25,9.0,,,,25,,0.5,
Monaco,23,,,,1.0,22,,586.0,
French Guiana,23,3.0,,,6.0,17,,77.0,
French Polynesia,23,5.0,,,,23,,82.0,
Isle of Man,23,10.0,,,,23,,270.0,
Jamaica,21,2.0,1.0,,2.0,18,,7.0,0.3
Guatemala,20,,1.0,,,19,,1.0,0.06
Guyana,20,,1.0,,,19,,25.0,1.0
Togo,20,2.0,,,1.0,19,,2.0,
Barbados,17,,,,,17,,59.0,
Madagascar,17,5.0,,,,17,,0.6,
U.S. Virgin Islands,17,,,,,17,,163.0,
Gibraltar,15,,,,5.0,10,,445.0,
Maldives,13,,,,5.0,8,,24.0,
Aruba,12,3.0,,,1.0,11,,112.0,
Ethiopia,12,1.0,,,,12,,0.1,
Tanzania,12,,,,,12,,0.2,
Mongolia,10,,,,,10,,3.0,
New Caledonia,10,2.0,,,,10,,35.0,
Equatorial Guinea,9,,,,,9,,6.0,
Uganda,9,,,,,9,,0.2,
Saint Martin,8,,,,,8,,207.0,
Seychelles,7,,,,,7,,71.0,
Gabon,6,,1.0,,,5,,3.0,0.4
Benin,6,,,,,6,,0.5,
Bermuda,6,,,,,6,,96.0,
Haiti,6,,,,,6,,0.5,
Namibia,6,2.0,,,,6,,2.0,
Suriname,6,1.0,,,,6,,10.0,
Cayman Islands,5,,1.0,,,4,,76.0,15.0
El Salvador,5,2.0,,,,5,,0.8,
Greenland,5,1.0,,,2.0,3,,88.0,
Curaçao,4,,1.0,,,3,,24.0,6.0
Bahamas,4,,,,,4,,10.0,
Congo,4,,,,,4,,0.7,
Fiji,4,1.0,,,,4,,4.0,
Guinea,4,,,,,4,,0.3,
Eswatini,4,,,,,4,,3.0,
Cabo Verde,3,,1.0,1.0,,2,,5.0,2.0
Gambia,3,1.0,1.0,,,2,,1.0,0.4
Sudan,3,1.0,1.0,,,2,,0.07,0.02
Zimbabwe,3,,1.0,,,2,,0.2,0.07
Angola,3,,,,,3,,0.09,
Antigua and Barbuda,3,,,,,3,,31.0,
CAR,3,,,,,3,,0.6,
Chad,3,1.0,,,,3,,0.2,
Djibouti,3,,,,,3,,3.0,
Liberia,3,,,,,3,,0.6,
Mozambique,3,2.0,,,,3,,0.1,
Niger,3,,,,,3,,0.1,
St. Barth,3,,,,,3,,304.0,
Saint Lucia,3,,,,,3,,16.0,
Zambia,3,,,,,3,,0.2,
Nepal,2,,,,1.0,1,,0.07,
Bhutan,2,,,,,2,,3.0,
Dominica,2,,,,,2,,28.0,
Laos,2,2.0,,,,2,,0.3,
Mauritania,2,,,,,2,,0.4,
Myanmar,2,,,,,2,,0.04,
Nicaragua,2,,,,,2,,0.3,
Sint Maarten,2,,,,,2,,47.0,
Belize,1,,,,,1,,3.0,
Eritrea,1,,,,,1,,0.3,
Grenada,1,,,,,1,,9.0,
Vatican City,1,,,,,1,,1248.0,
Montserrat,1,,,,,1,,200.0,
Papua New Guinea,1,,,,,1,,0.1,
St. Vincent Grenadines,1,,,,,1,,9.0,
Somalia,1,,,,,1,,0.06,
Syria,1,,,,,1,,0.06,
Timor-Leste,1,,,,,1,,0.8,
Turks and Caicos,1,,,,,1,,26.0,
Total:,400964,22182.0,17480.0,973.0,103750.0,279734,12358.0,51.4,2.2
