"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Togo,16,,,,,16,,2.0
French Polynesia,15,,,,,15,,53.0
Guam,15,,,,,15,,89.0
Mauritius,14,,1.0,,,13,,11.0
Barbados,14,,,,,14,,49.0
Ivory Coast,14,,,,1.0,13,,0.5
Kyrgyzstan,14,,,,,14,,2.0
Maldives,13,,,,3.0,10,,24.0
Mayotte,11,,,,,11,,40.0
Gibraltar,10,,,,2.0,8,,297.0
Mongolia,10,,,,,10,,3.0
Ethiopia,9,,,,,9,,0.08
Kenya,7,,,,,7,,0.1
Seychelles,7,,,,,7,,71.0
Equatorial Guinea,6,,,,,6,,4.0
Tanzania,6,,,,,6,,0.1
U.S. Virgin Islands,6,,,,,6,,57.0
Gabon,5,,1.0,,,4,,2.0
Aruba,5,,,,1.0,4,,47.0
Saint Martin,5,,,,,5,,129.0
Suriname,5,,,,,5,,9.0
Bahamas,4,,,,,4,,10.0
New Caledonia,4,,,,,4,,14.0
Cayman Islands,3,,1.0,,,2,,46.0
Curaçao,3,,1.0,,,2,,18.0
Cabo Verde,3,,,,,3,,5.0
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Liberia,3,,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1.0
St. Barth,3,,,,,3,,304.0
Zimbabwe,3,,,,,3,,0.2
Sudan,2,,1.0,,,1,,0.05
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32.0
Bhutan,2,,,,,2,,3.0
Fiji,2,,,,,2,,2.0
Greenland,2,,,,,2,,35.0
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Isle of Man,2,,,,,2,,24.0
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Saint Lucia,2,,,,,2,,11.0
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1.0,0,,0.03
Antigua and Barbuda,1,,,,,1,,10.0
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1.0
Eritrea,1,,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Vatican City,1,,,,,1,,1248.0
Montserrat,1,,,,,1,,200.0
Niger,1,,,,,1,,0.04
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9.0
Sint Maarten,1,,,,,1,,23.0
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
Total:,308245,3255.0,13068.0,61.0,95827.0,199350,9299.0,39.5
