"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
Curaçao,11,,1.0,,3.0,7,,67.0,6.0
Libya,11,,1.0,,,10,,2.0,0.1
Sudan,10,2.0,2.0,,2.0,6,,0.2,0.05
Greenland,10,,,,3.0,7,,176.0,
Grenada,10,,,,,10,,89.0,
Laos,10,,,,,10,,1.0,
Mozambique,10,,,,,10,,0.3,
Seychelles,10,,,,,10,,102.0,
Suriname,10,,,,,10,,17.0,
MS Zaandam,9,,2.0,,,7,,,
Zimbabwe,9,,1.0,,,8,,0.6,0.07
Antigua and Barbuda,9,,,,,9,,92.0,
Guinea-Bissau,9,,,,,9,,5.0,
Saint Kitts and Nevis,9,,,,,9,,169.0,
Eswatini,9,,,,,9,,8.0,
Angola,8,,2.0,,1.0,5,,0.2,0.06
CAR,8,5.0,,,,8,,2.0,
Chad,8,,,,,8,,0.5,
Fiji,7,,,,,7,,8.0,
Vatican City,7,,,,,7,,8739.0,
Liberia,7,1.0,,,,7,,1.0,
Cabo Verde,6,,1.0,,,5,,11.0,2.0
Mauritania,6,,1.0,,2.0,3,,1.0,0.2
Nepal,6,,,,1.0,5,,0.2,
St. Barth,6,,,,1.0,5,,607.0,
Nicaragua,5,,1.0,,,4,,0.8,0.2
Bhutan,5,,,,2.0,3,,6.0,
Montserrat,5,,,,,5,,1002.0,
Somalia,5,,,,1.0,4,,0.3,
Turks and Caicos,5,,,,,5,,129.0,
Botswana,4,,1.0,,,3,,2.0,0.4
Gambia,4,,1.0,,2.0,1,,2.0,0.4
Belize,4,1.0,,,,4,,10.0,
Anguilla,3,,,,,3,,200.0,
British Virgin Islands,3,,,,,3,,99.0,
Burundi,3,,,,,3,,0.3,
Malawi,3,,,,,3,,0.2,
St. Vincent Grenadines,3,1.0,,,1.0,2,,27.0,
Caribbean Netherlands,2,,,,,2,,76.0,
Sierra Leone,2,,,,,2,,0.3,
Papua New Guinea,1,,,,,1,,0.1,
Timor-Leste,1,,,,,1,,0.8,
China,81620,31.0,3322.0,4.0,76571.0,1727,379.0,57.0,2.0
Total:,1056163,41098.0,55741.0,2574.0,223901.0,776521,38780.0,135.5,7.2
