"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
Peru,852,181.0,18.0,2.0,16.0,818,40.0,26.0,0.5,Mar 05
Mexico,848,131.0,16.0,4.0,4.0,828,1.0,7.0,0.1,Feb 27
Singapore,844,42.0,3.0,1.0,212.0,629,19.0,144.0,0.5,Jan 22
Argentina,745,,19.0,,72.0,654,,16.0,0.4,Mar 02
Serbia,741,82.0,13.0,3.0,42.0,686,25.0,85.0,1.0,Mar 05
Slovenia,730,46.0,11.0,2.0,10.0,709,23.0,351.0,5.0,Mar 03
Croatia,713,56.0,6.0,1.0,52.0,655,26.0,174.0,1.0,Feb 24
Diamond Princess,712,,10.0,,603.0,99,15.0,,,Feb 04
Colombia,702,94.0,10.0,4.0,10.0,682,29.0,14.0,0.2,Mar 05
Estonia,679,34.0,3.0,2.0,20.0,656,10.0,512.0,2.0,Feb 26
Hong Kong,641,81.0,4.0,,118.0,519,5.0,86.0,0.5,Jan 22
Qatar,634,44.0,1.0,,48.0,585,6.0,220.0,0.3,Feb 28
Egypt,609,33.0,40.0,4.0,132.0,437,,6.0,0.4,Feb 13
UAE,570,102.0,3.0,1.0,58.0,509,2.0,58.0,0.3,Jan 28
Iraq,547,41.0,42.0,,143.0,362,,14.0,1.0,Feb 21
New Zealand,514,,1.0,,56.0,457,1.0,107.0,0.2,Feb 27
Algeria,511,57.0,31.0,2.0,31.0,449,,12.0,0.7,Feb 24
Bahrain,499,23.0,4.0,,272.0,223,1.0,293.0,2.0,Feb 23
Morocco,479,77.0,26.0,1.0,13.0,440,1.0,13.0,0.7,Mar 01
Ukraine,475,119.0,10.0,1.0,6.0,459,,11.0,0.2,Mar 02
Lithuania,460,66.0,7.0,,1.0,452,2.0,169.0,3.0,Feb 27
Lebanon,438,26.0,10.0,2.0,30.0,398,4.0,64.0,1.0,Feb 20
Armenia,424,17.0,3.0,2.0,30.0,391,6.0,143.0,1.0,Feb 29
Hungary,408,65.0,13.0,2.0,34.0,361,6.0,42.0,1.0,Mar 03
Latvia,347,42.0,,,1.0,346,3.0,184.0,,Mar 01
Bulgaria,346,15.0,8.0,1.0,14.0,324,8.0,50.0,1.0,Mar 06
Andorra,334,26.0,6.0,3.0,1.0,327,10.0,4323.0,78.0,Mar 01
Bosnia and Herzegovina,323,45.0,6.0,,8.0,309,1.0,98.0,2.0,Mar 04
Costa Rica,314,19.0,2.0,,3.0,309,6.0,62.0,0.4,Mar 04
Slovakia,314,22.0,,,2.0,312,1.0,58.0,,Mar 05
Tunisia,312,34.0,8.0,,2.0,302,10.0,26.0,0.7,Mar 01
Uruguay,304,,1.0,,,303,9.0,88.0,0.3,Mar 12
Taiwan,298,15.0,2.0,,39.0,257,,13.0,0.08,Jan 20
Kazakhstan,284,56.0,1.0,,20.0,263,,15.0,0.05,Mar 12
Moldova,263,32.0,2.0,,2.0,259,33.0,65.0,0.5,Mar 06
North Macedonia,259,18.0,6.0,2.0,3.0,250,1.0,124.0,3.0,Feb 25
Jordan,259,13.0,3.0,2.0,18.0,238,3.0,25.0,0.3,Mar 01
Kuwait,255,20.0,,,67.0,188,12.0,60.0,,Feb 23
San Marino,224,,22.0,,6.0,196,16.0,6602.0,648.0,Feb 26
Burkina Faso,222,15.0,12.0,1.0,23.0,187,,11.0,0.6,Mar 08
Cyprus,214,35.0,5.0,,15.0,194,3.0,177.0,4.0,Mar 08
Albania,212,15.0,10.0,,33.0,169,3.0,74.0,3.0,Mar 07
Azerbaijan,209,27.0,4.0,,15.0,190,23.0,21.0,0.4,Feb 27
Vietnam,188,14.0,,,25.0,163,3.0,2.0,,Jan 22
Réunion,183,,,,1.0,182,,204.0,,Mar 10
Oman,167,15.0,,,23.0,144,,33.0,,Feb 23
Ivory Coast,165,64.0,1.0,1.0,4.0,160,,6.0,0.04,Mar 10
Faeroe Islands,159,4.0,,,70.0,89,1.0,3254.0,,Mar 03
Ghana,152,11.0,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
Malta,151,2.0,,,2.0,149,4.0,342.0,,Mar 06
Uzbekistan,144,40.0,2.0,,7.0,135,8.0,4.0,0.06,Mar 14
Senegal,142,12.0,,,27.0,115,,8.0,,Mar 01
Cameroon,139,48.0,6.0,4.0,5.0,128,,5.0,0.2,Mar 05
Cuba,139,20.0,3.0,,4.0,132,2.0,12.0,0.3,Mar 10
Brunei,126,6.0,1.0,,34.0,91,1.0,288.0,2.0,Mar 08
Afghanistan,120,10.0,4.0,,2.0,114,,3.0,0.1,Feb 23
Venezuela,119,,2.0,,39.0,78,2.0,4.0,0.07,Mar 12
Sri Lanka,117,4.0,1.0,,11.0,105,5.0,5.0,0.05,Jan 26
Nigeria,111,14.0,1.0,,3.0,107,,0.5,0.0,Feb 27
Honduras,110,15.0,2.0,1.0,3.0,105,4.0,11.0,0.2,Mar 10
Channel Islands,108,11.0,2.0,1.0,,106,,621.0,12.0,Mar 08
Palestine,108,4.0,1.0,,18.0,89,,21.0,0.2,Mar 04
Mauritius,107,5.0,3.0,1.0,,104,1.0,84.0,2.0,Mar 17
Cambodia,103,4.0,,,21.0,82,1.0,6.0,,Jan 26
Guadeloupe,102,,2.0,,17.0,83,4.0,255.0,5.0,Mar 12
Belarus,94,,,,32.0,62,2.0,10.0,,Feb 27
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Georgia,91,1.0,,,18.0,73,1.0,23.0,,Feb 25
Montenegro,85,1.0,1.0,,,84,1.0,135.0,2.0,Mar 16
Kyrgyzstan,84,26.0,,,,84,,13.0,,Mar 17
Bolivia,81,7.0,1.0,1.0,,80,3.0,7.0,0.09,Mar 09
Trinidad and Tobago,78,2.0,3.0,,1.0,74,,56.0,2.0,Mar 11
DRC,65,,6.0,,2.0,57,,0.7,0.07,Mar 09
Gibraltar,65,9.0,,,14.0,51,,1929.0,,Mar 02
Mayotte,63,,,,,63,,231.0,,Mar 13
Rwanda,60,,,,,60,,5.0,,Mar 13
Paraguay,56,,3.0,,1.0,52,1.0,8.0,0.4,Mar 06
Liechtenstein,56,,,,,56,,1469.0,,Mar 02
Aruba,50,4.0,,,1.0,49,,468.0,,Mar 12
Bangladesh,48,,5.0,,15.0,28,1.0,0.3,0.03,Mar 07
Monaco,43,,1.0,,1.0,41,,1096.0,25.0,Feb 27
Kenya,42,4.0,1.0,,1.0,40,2.0,0.8,0.02,Mar 12
Isle of Man,42,10.0,,,,42,,494.0,,Mar 18
Madagascar,39,13.0,,,,39,,1.0,,Mar 19
Macao,37,3.0,,,10.0,27,,57.0,,Jan 21
Guatemala,34,,1.0,,10.0,23,1.0,2.0,0.06,Mar 12
Uganda,33,3.0,,,,33,,0.7,,Mar 20
Jamaica,32,2.0,1.0,,2.0,29,,11.0,0.3,Mar 09
French Polynesia,30,,,,,30,,107.0,,Mar 10
Zambia,29,1.0,,,,29,,2.0,,Mar 17
French Guiana,28,,,,6.0,22,,94.0,,Mar 06
Barbados,26,,,,,26,,90.0,,Mar 16
Togo,25,,1.0,,1.0,23,,3.0,0.1,Mar 05
El Salvador,24,5.0,,,,24,,4.0,,Mar 18
Bermuda,22,5.0,,,2.0,20,,353.0,,Mar 17
Congo,19,15.0,,,,19,,3.0,,Mar 14
Ethiopia,19,3.0,,,1.0,18,,0.2,,Mar 12
Mali,18,,1.0,,,17,,0.9,0.05,Mar 24
Niger,18,8.0,1.0,,,17,,0.7,0.04,Mar 18
Djibouti,18,4.0,,,,18,,18.0,,Mar 17
Maldives,17,1.0,,,13.0,4,,31.0,,Mar 06
Guinea,16,8.0,,,,16,,1.0,,Mar 12
Haiti,15,7.0,,,1.0,14,,1.0,,Mar 19
New Caledonia,15,,,,,15,,53.0,,Mar 17
Tanzania,14,,,,1.0,13,,0.2,,Mar 15
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Eritrea,12,6.0,,,,12,,3.0,,Mar 20
Mongolia,12,,,,,12,,4.0,,Mar 09
Bahamas,11,1.0,,,1.0,10,,28.0,,Mar 14
Dominica,11,,,,,11,,153.0,,Mar 21
Namibia,11,3.0,,,2.0,9,,4.0,,Mar 13
Saint Martin,11,,,,,11,,284.0,,Feb 29
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Myanmar,10,2.0,,,,10,,0.2,,Mar 22
Syria,9,4.0,1.0,1.0,,8,,0.5,0.06,Mar 21
Grenada,9,2.0,,,,9,,80.0,,Mar 21
Eswatini,9,,,,,9,,8.0,,Mar 13
Cayman Islands,8,,1.0,,,7,,122.0,15.0,Mar 12
Curaçao,8,,1.0,,2.0,5,,49.0,6.0,Mar 12
Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
Laos,8,,,,,8,,1.0,,Mar 23
Libya,8,5.0,,,,8,,1.0,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81.0,,Mar 13
Suriname,8,,,,,8,,14.0,,Mar 12
Angola,7,2.0,2.0,2.0,,5,,0.2,0.06,Mar 19
Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
Zimbabwe,7,,1.0,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Sudan,6,1.0,1.0,,,5,,0.1,0.02,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491.0,,Mar 05
Sint Maarten,6,,,,,6,,140.0,,Mar 17
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6.0,,Mar 18
Mauritania,5,,,,,5,,1.0,,Mar 12
Montserrat,5,,,,,5,,1002.0,,Mar 17
St. Barth,5,,,,,5,,506.0,,Feb 29
Gambia,4,1.0,1.0,,,3,,2.0,0.4,Mar 16
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Bhutan,4,1.0,,,,4,,5.0,,Mar 05
Saint Lucia,4,1.0,,,1.0,3,,22.0,,Mar 12
Turks and Caicos,4,,,,,4,,103.0,,Mar 22
CAR,3,,,,,3,,0.6,,Mar 14
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
Belize,2,,,,,2,,5.0,,Mar 22
British Virgin Islands,2,,,,,2,,66.0,,Mar 24
Guinea-Bissau,2,,,,,2,,1.0,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81439,45.0,3300.0,5.0,75448.0,2691,742.0,57.0,2.0,Jan 10
Total:,718815,55733.0,33892.0,3036.0,150918.0,534005,26743.0,92.2,4.3,
