"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Hong Kong,256,48.0,4.0,,98.0,154,4.0,34.0
Peru,234,,3.0,2.0,1.0,230,7.0,7.0
Philippines,230,13.0,18.0,1.0,8.0,204,1.0,2.0
India,223,29.0,5.0,1.0,23.0,195,,0.2
South Africa,202,52.0,,,,202,,3.0
Russia,199,,1.0,,9.0,189,,1.0
Iraq,192,,13.0,,49.0,130,,5.0
Mexico,164,46.0,1.0,,4.0,159,1.0,1.0
Lebanon,163,6.0,4.0,,4.0,155,3.0,24.0
Kuwait,159,11.0,,,22.0,137,5.0,37.0
San Marino,144,,14.0,,4.0,126,12.0,4244.0
UAE,140,,,,31.0,109,2.0,14.0
Panama,137,,1.0,,1.0,135,7.0,32.0
Armenia,136,14.0,,,1.0,135,2.0,46.0
Taiwan,135,27.0,2.0,1.0,28.0,105,,6.0
Argentina,128,,3.0,,3.0,122,,3.0
Colombia,128,20.0,,,1.0,127,,3.0
Slovakia,124,,,,,124,2.0,23.0
Serbia,118,15.0,,,2.0,116,4.0,14.0
Croatia,113,3.0,1.0,,5.0,107,,28.0
Bulgaria,112,5.0,3.0,,1.0,108,,16.0
Latvia,111,25.0,,,1.0,110,,59.0
Uruguay,94,15.0,,,,94,,27.0
Algeria,90,,10.0,1.0,32.0,48,,2.0
Costa Rica,89,2.0,2.0,1.0,,87,2.0,17.0
Vietnam,87,2.0,,,16.0,71,,0.9
Hungary,85,12.0,3.0,2.0,7.0,75,6.0,9.0
Faeroe Islands,80,8.0,,,3.0,77,,1637.0
Brunei,78,5.0,,,1.0,77,2.0,178.0
Andorra,75,1.0,,,1.0,74,2.0,971.0
Albania,70,6.0,2.0,,,68,2.0,24.0
Sri Lanka,70,10.0,,,3.0,67,,3.0
Belarus,69,18.0,,,15.0,54,,7.0
Jordan,69,,,,1.0,68,,7.0
Bosnia and Herzegovina,69,5.0,,,2.0,67,,21.0
North Macedonia,67,17.0,,,1.0,66,1.0,32.0
Cyprus,67,,,,,67,1.0,55.0
Morocco,66,3.0,3.0,1.0,2.0,61,1.0,2.0
Malta,64,11.0,,,2.0,62,1.0,145.0
Tunisia,54,15.0,1.0,,1.0,52,2.0,5.0
Moldova,49,,1.0,,1.0,47,3.0,12.0
Kazakhstan,49,5.0,,,,49,,3.0
Lithuania,49,1.0,,,1.0,48,1.0,18.0
Oman,48,,,,13.0,35,,9.0
Palestine,48,1.0,,,17.0,31,,9.0
Cambodia,47,10.0,,,1.0,46,,3.0
Guadeloupe,45,12.0,,,,45,,112.0
Azerbaijan,44,,1.0,,7.0,36,,4.0
Georgia,43,3.0,,,1.0,42,1.0,11.0
Venezuela,42,,,,,42,,1.0
Burkina Faso,40,7.0,1.0,,4.0,35,,2.0
New Zealand,39,11.0,,,,39,,8.0
Senegal,38,2.0,,,2.0,36,,2.0
Dominican Republic,34,,2.0,,,32,,3.0
Uzbekistan,33,10.0,,,,33,,1.0
Martinique,32,9.0,1.0,,,31,7.0,85.0
Liechtenstein,28,,,,,28,,734.0
Réunion,28,,,,,28,,31.0
Ukraine,26,,3.0,,1.0,22,,0.6
Afghanistan,24,2.0,,,1.0,23,,0.6
Honduras,24,12.0,,,,24,,2.0
Bangladesh,20,2.0,1.0,,3.0,16,1.0,0.1
Cameroon,20,7.0,,,2.0,18,,0.8
DRC,18,4.0,,,,18,,0.2
Macao,17,,,,10.0,7,,26.0
Bolivia,17,2.0,,,,17,,1.0
Cuba,16,5.0,1.0,,,15,,1.0
Jamaica,16,1.0,1.0,,2.0,13,,5.0
Ghana,16,5.0,,,,16,,0.5
French Guiana,15,,,,,15,,50.0
Guam,14,2.0,,,,14,,83.0
Maldives,13,,,,,13,,24.0
Montenegro,13,,,,,13,,21.0
Paraguay,13,,,,,13,1.0,2.0
Nigeria,12,,,,1.0,11,,0.06
Mauritius,12,5.0,,,,12,,9.0
Monaco,11,1.0,,,,11,,280.0
Channel Islands,11,,,,,11,,63.0
French Polynesia,11,5.0,,,,11,,39.0
Rwanda,11,,,,,11,,0.8
Gibraltar,10,,,,2.0,8,,297.0
Guatemala,9,,1.0,,,8,,0.5
Ivory Coast,9,,,,1.0,8,,0.3
Ethiopia,9,2.0,,,,9,,0.08
Togo,9,8.0,,,,9,,1.0
Trinidad and Tobago,9,,,,,9,,6.0
Puerto Rico,8,2.0,,,,8,,3.0
Kenya,7,,,,,7,,0.1
Seychelles,7,1.0,,,,7,,71.0
Equatorial Guinea,6,,,,,6,,4.0
Kyrgyzstan,6,3.0,,,,6,,0.9
Mongolia,6,,,,,6,,2.0
Tanzania,6,,,,,6,,0.1
Guyana,5,,1.0,,,4,,6.0
Aruba,5,,,,1.0,4,,47.0
Barbados,5,,,,,5,,17.0
Mayotte,4,,,,,4,,15.0
Suriname,4,3.0,,,,4,,7.0
Cayman Islands,3,,1.0,,,2,,46.0
Curaçao,3,,1.0,,,2,,18.0
Gabon,3,,1.0,1.0,,2,,1.0
Bahamas,3,,,,,3,,8.0
Congo,3,,,,,3,,0.5
Namibia,3,,,,,3,,1.0
St. Barth,3,,,,,3,,304.0
Saint Martin,3,,,,,3,,78.0
U.S. Virgin Islands,3,,,,,3,,29.0
Sudan,2,,1.0,,,1,,0.05
Benin,2,,,,,2,,0.2
Bermuda,2,,,,,2,,32.0
Bhutan,2,1.0,,,,2,,3.0
CAR,2,1.0,,,,2,,0.4
Greenland,2,,,,,2,,35.0
Haiti,2,2.0,,,,2,,0.2
Liberia,2,,,,,2,,0.4
Mauritania,2,,,,,2,,0.4
New Caledonia,2,,,,,2,,7.0
Saint Lucia,2,,,,,2,,11.0
Zambia,2,,,,,2,,0.1
Nepal,1,,,,1.0,0,,0.03
Angola,1,1.0,,,,1,,0.03
Antigua and Barbuda,1,,,,,1,,10.0
Cabo Verde,1,1.0,,,,1,,2.0
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1.0
El Salvador,1,,,,,1,,0.2
Fiji,1,,,,,1,,1.0
Gambia,1,,,,,1,,0.4
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,1248.0
Isle of Man,1,,,,,1,,12.0
Montserrat,1,,,,,1,,200.0
Nicaragua,1,,,,,1,,0.2
Niger,1,,,,,1,,0.04
St. Vincent Grenadines,1,,,,,1,,9.0
Sint Maarten,1,,,,,1,,23.0
Somalia,1,,,,,1,,0.06
Eswatini,1,,,,,1,,0.9
Total:,253796,8902.0,10406.0,378.0,89062.0,154328,7464.0,32.6
