"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Kenya,15,,,,,15,,0.3
Barbados,14,,,,,14,,49.0
Ivory Coast,14,,,,1.0,13,,0.5
Kyrgyzstan,14,,,,,14,,2.0
Maldives,13,,,,3.0,10,,24.0
Tanzania,12,,,,,12,,0.2
Ethiopia,11,,,,,11,,0.1
Mayotte,11,,,,,11,,40.0
Mongolia,10,,,,,10,,3.0
Aruba,9,,,,1.0,8,,84.0
Seychelles,7,,,,,7,,71.0
Bermuda,6,,,,,6,,96.0
Equatorial Guinea,6,,,,,6,,4.0
U.S. Virgin Islands,6,,,,,6,,57.0
Gabon,5,,1.0,,,4,,2.0
Isle of Man,5,,,,,5,,59.0
Saint Martin,5,,,,,5,,129.0
Suriname,5,,,,,5,,9.0
Bahamas,4,,,,,4,,10.0
Greenland,4,,,,,4,,70.0
New Caledonia,4,,,,,4,,14.0
Eswatini,4,,,,,4,,3.0
Cayman Islands,3,,1.0,,,2,,46.0
Curaçao,3,,1.0,,,2,,18.0
Cabo Verde,3,,,,,3,,5.0
CAR,3,,,,,3,,0.6
Congo,3,,,,,3,,0.5
El Salvador,3,,,,,3,,0.5
Fiji,3,1.0,,,,3,,3.0
Liberia,3,,,,,3,,0.6
Madagascar,3,,,,,3,,0.1
Namibia,3,,,,,3,,1.0
St. Barth,3,,,,,3,,304.0
Zambia,3,,,,,3,,0.2
Zimbabwe,3,,,,,3,,0.2
Sudan,2,,1.0,,,1,,0.05
Angola,2,,,,,2,,0.06
Benin,2,,,,,2,,0.2
Bhutan,2,,,,,2,,3.0
Guinea,2,,,,,2,,0.2
Haiti,2,,,,,2,,0.2
Mauritania,2,,,,,2,,0.4
Nicaragua,2,,,,,2,,0.3
Niger,2,,,,,2,,0.08
Saint Lucia,2,,,,,2,,11.0
Nepal,1,,,,1.0,0,,0.03
Antigua and Barbuda,1,,,,,1,,10.0
Chad,1,,,,,1,,0.06
Djibouti,1,,,,,1,,1.0
Dominica,1,,,,,1,,14.0
Eritrea,1,,,,,1,,0.3
Gambia,1,,,,,1,,0.4
Grenada,1,,,,,1,,9.0
Vatican City,1,,,,,1,,1248.0
Montserrat,1,,,,,1,,200.0
Mozambique,1,,,,,1,,0.03
Papua New Guinea,1,,,,,1,,0.1
St. Vincent Grenadines,1,,,,,1,,9.0
Sint Maarten,1,,,,,1,,23.0
Somalia,1,,,,,1,,0.06
Syria,1,,,,,1,,0.06
Timor-Leste,1,,,,,1,,0.8
Uganda,1,,,,,1,,0.02
Total:,339337,1907.0,14703.0,65.0,99014.0,225620,10553.0,43.5
