"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
Romania,246,29.0,,,19.0,227,5.0,13.0
Bahrain,241,,1.0,,88.0,152,3.0,142.0
Indonesia,227,55.0,19.0,12.0,11.0,197,,0.8
Thailand,212,35.0,1.0,,41.0,170,1.0,3.0
Luxembourg,203,63.0,2.0,1.0,,201,1.0,324.0
Philippines,202,15.0,17.0,3.0,4.0,181,1.0,2.0
Chile,201,,,,,201,3.0,11.0
Egypt,196,,6.0,,26.0,164,,2.0
Hong Kong,181,13.0,4.0,,92.0,85,4.0,24.0
Saudi Arabia,171,,,,6.0,165,,5.0
Iraq,154,,11.0,,41.0,102,,4.0
India,152,9.0,3.0,,14.0,135,,0.1
Kuwait,142,12.0,,,12.0,130,4.0,33.0
Lebanon,133,9.0,4.0,,4.0,125,3.0,19.0
San Marino,119,,11.0,,4.0,104,11.0,3507.0
Peru,117,,,,1.0,116,8.0,4.0
South Africa,116,31.0,,,,116,,2.0
Russia,114,,,,8.0,106,,0.8
UAE,113,,,,26.0,87,2.0,11.0
Ecuador,111,,2.0,,,109,2.0,6.0
Slovakia,105,8.0,,,,105,2.0,19.0
Taiwan,100,23.0,1.0,,20.0,79,,4.0
Turkey,98,,1.0,,,97,,1.0
Mexico,93,11.0,,,4.0,89,1.0,0.7
Panama,86,17.0,1.0,,,85,7.0,20.0
Armenia,84,6.0,,,1.0,83,2.0,28.0
Serbia,83,11.0,,,1.0,82,4.0,9.0
Bulgaria,81,,2.0,,,79,,12.0
Croatia,81,12.0,,,5.0,76,,20.0
Argentina,79,,2.0,,3.0,74,1.0,2.0
Colombia,75,10.0,,,1.0,74,,1.0
Latvia,71,11.0,,,1.0,70,,38.0
Vietnam,68,2.0,,,16.0,52,,0.7
Brunei,68,12.0,,,,68,2.0,155.0
Algeria,67,6.0,5.0,,10.0,52,,2.0
Hungary,58,8.0,1.0,,2.0,55,,6.0
Faeroe Islands,58,11.0,,,1.0,57,,1187.0
Albania,55,,2.0,1.0,,53,2.0,19.0
Belarus,51,15.0,,,5.0,46,,5.0
Costa Rica,50,,,,,50,3.0,10.0
Uruguay,50,,,,,50,,14.0
Morocco,49,5.0,2.0,,1.0,46,1.0,1.0
Cyprus,49,,,,,49,1.0,41.0
Jordan,48,,,,1.0,47,,5.0
Sri Lanka,45,1.0,,,3.0,42,,2.0
Palestine,44,,,,,44,,9.0
Andorra,39,,,,1.0,38,,505.0
Georgia,38,4.0,,,1.0,37,1.0,10.0
Bosnia and Herzegovina,38,4.0,,,2.0,36,,12.0
Malta,38,,,,2.0,36,,86.0
Venezuela,36,3.0,,,,36,,1.0
Cambodia,35,2.0,,,1.0,34,,2.0
Kazakhstan,35,2.0,,,,35,,2.0
Azerbaijan,34,,1.0,,6.0,27,,3.0
Oman,33,,,,12.0,21,,6.0
North Macedonia,31,,,,1.0,30,1.0,15.0
Senegal,31,4.0,,,2.0,29,,2.0
Moldova,30,,1.0,1.0,1.0,28,1.0,7.0
Lithuania,27,1.0,,,1.0,26,1.0,10.0
Tunisia,27,,,,1.0,26,2.0,2.0
Guadeloupe,27,9.0,,,,27,,67.0
Afghanistan,22,,,,1.0,21,,0.6
Dominican Republic,21,,1.0,,,20,,2.0
New Zealand,20,,,,,20,,4.0
Burkina Faso,20,5.0,,,,20,,1.0
Martinique,19,4.0,1.0,,,18,,51.0
Liechtenstein,19,,,,,19,,498.0
Macao,15,2.0,,,10.0,5,,23.0
Uzbekistan,15,4.0,,,,15,,0.4
Ukraine,14,,2.0,,,12,,0.3
Bangladesh,14,4.0,1.0,1.0,3.0,10,,0.09
Jamaica,13,,,,2.0,11,,4.0
Maldives,13,,,,,13,,24.0
Bolivia,12,,,,,12,,1.0
Réunion,12,3.0,,,,12,,13.0
Guyana,11,4.0,1.0,,,10,,14.0
French Guiana,11,,,,,11,,37.0
Paraguay,11,2.0,,,,11,1.0,2.0
Cameroon,10,,,,,10,,0.4
Monaco,9,,,,,9,,229.0
Honduras,9,1.0,,,,9,,0.9
Guatemala,8,,1.0,,,7,,0.4
Guam,8,3.0,,,,8,,47.0
Rwanda,8,1.0,,,,8,,0.6
Cuba,7,,,,,7,,0.6
DRC,7,4.0,,,,7,,0.08
Ghana,7,,,,,7,,0.2
Kenya,7,3.0,,,,7,,0.1
Trinidad and Tobago,7,2.0,,,,7,,5.0
Channel Islands,6,,,,,6,,35.0
Ivory Coast,6,2.0,,,1.0,5,,0.2
Ethiopia,6,,,,,6,,0.05
Mongolia,6,1.0,,,,6,,2.0
Puerto Rico,5,,,,,5,,2.0
Aruba,4,1.0,,,,4,,37.0
Seychelles,4,,,,,4,,41.0
Nigeria,3,,,,1.0,2,,0.01
Curaçao,3,,,,,3,,18.0
French Polynesia,3,,,,,3,,11.0
Gabon,3,,,,,3,,1.0
Gibraltar,3,,,,2.0,1,,89.0
Kyrgyzstan,3,3.0,,,,3,,0.5
Mayotte,3,,,,,3,,11.0
St. Barth,3,,,,,3,,304.0
Saint Martin,3,1.0,,,,3,,78.0
Tanzania,3,2.0,,,,3,,0.05
Sudan,2,1.0,1.0,,,1,,0.05
Barbados,2,,,,,2,,7.0
Liberia,2,,,,,2,,0.4
Montenegro,2,,,,,2,,3.0
Namibia,2,,,,,2,,0.8
Saint Lucia,2,,,,,2,,11.0
U.S. Virgin Islands,2,,,,,2,,19.0
Cayman Islands,1,,1.0,,,0,,15.0
Nepal,1,,,,1.0,0,,0.03
Antigua and Barbuda,1,,,,,1,,10.0
Bahamas,1,,,,,1,,3.0
Benin,1,,,,,1,,0.08
Bhutan,1,,,,,1,,1.0
CAR,1,,,,,1,,0.2
Congo,1,,,,,1,,0.2
Equatorial Guinea,1,,,,,1,,0.7
Gambia,1,,,,,1,,0.4
Greenland,1,,,,,1,,18.0
Guinea,1,,,,,1,,0.08
Vatican City,1,,,,,1,,1248.0
Mauritania,1,,,,,1,,0.2
Montserrat,1,1.0,,,,1,,200.0
St. Vincent Grenadines,1,,,,,1,,9.0
Somalia,1,,,,,1,,0.06
Suriname,1,,,,,1,,2.0
Eswatini,1,,,,,1,,0.9
Togo,1,,,,,1,,0.1
Total:,200351,2130.0,8010.0,43.0,82813.0,109528,6423.0,25.7
