"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase
Uzbekistan,104,16.0,2.0,1.0,5.0,97,8.0,3.0,0.06,Mar 14
Guadeloupe,102,29.0,2.0,1.0,17.0,83,4.0,255.0,5.0,Mar 12
Mauritius,102,8.0,2.0,,,100,1.0,80.0,2.0,Mar 17
Ivory Coast,101,,,,3.0,98,,4.0,,Mar 10
Cambodia,99,,,,13.0,86,1.0,6.0,,Jan 26
Channel Islands,97,9.0,1.0,,,96,,558.0,6.0,Mar 08
Palestine,97,6.0,1.0,,18.0,78,,19.0,0.2,Mar 04
Honduras,95,27.0,1.0,,3.0,91,4.0,10.0,0.1,Mar 10
Belarus,94,,,,32.0,62,2.0,10.0,,Feb 27
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Cameroon,91,,2.0,,2.0,87,,3.0,0.08,Mar 05
Georgia,90,7.0,,,14.0,76,1.0,23.0,,Feb 25
Nigeria,89,19.0,1.0,,3.0,85,,0.4,0.0,Feb 27
Montenegro,82,,1.0,,,81,1.0,131.0,2.0,Mar 16
Trinidad and Tobago,74,8.0,2.0,,1.0,71,,53.0,1.0,Mar 11
Bolivia,74,13.0,,,,74,,6.0,,Mar 09
Mayotte,63,13.0,,,,63,,231.0,,Mar 13
DRC,58,7.0,6.0,3.0,2.0,50,,0.6,0.07,Mar 09
Kyrgyzstan,58,,,,,58,,9.0,,Mar 17
Paraguay,56,4.0,3.0,,1.0,52,1.0,8.0,0.4,Mar 06
Gibraltar,56,1.0,,,14.0,42,,1662.0,,Mar 02
Liechtenstein,56,,,,,56,,1469.0,,Mar 02
Rwanda,54,,,,,54,,4.0,,Mar 13
Bangladesh,48,,5.0,,15.0,28,1.0,0.3,0.03,Mar 07
Aruba,46,13.0,,,1.0,45,,431.0,,Mar 12
Monaco,42,,,,1.0,41,,1070.0,,Feb 27
Kenya,38,7.0,1.0,,1.0,36,2.0,0.7,0.02,Mar 12
Macao,34,,,,10.0,24,,52.0,,Jan 21
Guatemala,32,4.0,1.0,,4.0,27,1.0,2.0,0.06,Mar 12
Isle of Man,32,3.0,,,,32,,376.0,,Mar 18
Jamaica,30,4.0,1.0,,2.0,27,,10.0,0.3,Mar 09
French Polynesia,30,,,,,30,,107.0,,Mar 10
French Guiana,28,,,,6.0,22,,94.0,,Mar 06
Zambia,28,6.0,,,,28,,2.0,,Mar 17
Barbados,26,,,,,26,,90.0,,Mar 16
Madagascar,26,,,,,26,,0.9,,Mar 19
Togo,25,,1.0,,1.0,23,,3.0,0.1,Mar 05
Uganda,23,,,,,23,,0.5,,Mar 20
El Salvador,19,6.0,,,,19,,3.0,,Mar 18
Mali,18,7.0,,,,18,,0.9,,Mar 24
Bermuda,17,,,,2.0,15,,273.0,,Mar 17
Ethiopia,16,,,,1.0,15,,0.1,,Mar 12
Maldives,16,,,,9.0,7,,30.0,,Mar 06
New Caledonia,15,,,,,15,,53.0,,Mar 17
Tanzania,13,,,,1.0,12,,0.2,,Mar 15
Djibouti,12,,,,,12,,12.0,,Mar 17
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Mongolia,12,1.0,,,,12,,4.0,,Mar 09
Dominica,11,,,,,11,,153.0,,Mar 21
Saint Martin,11,,,,,11,,284.0,,Feb 29
Niger,10,,1.0,,,9,,0.4,0.04,Mar 18
Bahamas,10,,,,1.0,9,,25.0,,Mar 14
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Eswatini,9,,,,,9,,8.0,,Mar 13
Cayman Islands,8,,1.0,,,7,,122.0,15.0,Mar 12
Curaçao,8,,1.0,,2.0,5,,49.0,6.0,Mar 12
Guyana,8,3.0,1.0,,,7,,10.0,1.0,Mar 11
Guinea,8,,,,,8,,0.6,,Mar 12
Haiti,8,,,,,8,,0.7,,Mar 19
Laos,8,2.0,,,,8,,1.0,,Mar 23
Mozambique,8,1.0,,,,8,,0.3,,Mar 21
Myanmar,8,,,,,8,,0.1,,Mar 22
Namibia,8,,,,2.0,6,,3.0,,Mar 13
Suriname,8,,,,,8,,14.0,,Mar 12
Gabon,7,,1.0,,,6,,3.0,0.4,Mar 12
Zimbabwe,7,2.0,1.0,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Grenada,7,,,,,7,,62.0,,Mar 21
Seychelles,7,,,,,7,,71.0,,Mar 13
Benin,6,,,,,6,,0.5,,Mar 15
Eritrea,6,,,,,6,,2.0,,Mar 20
Vatican City,6,2.0,,,,6,,7491.0,,Mar 05
Cabo Verde,5,,1.0,,,4,,9.0,2.0,Mar 19
Sudan,5,2.0,1.0,,,4,,0.1,0.02,Mar 12
Nepal,5,1.0,,,1.0,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6.0,,Mar 18
Mauritania,5,2.0,,,,5,,1.0,,Mar 12
Montserrat,5,,,,,5,,1002.0,,Mar 17
St. Barth,5,,,,,5,,506.0,,Feb 29
Syria,5,,,,,5,,0.3,,Mar 21
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Angola,4,,,,,4,,0.1,,Mar 19
Congo,4,,,,,4,,0.7,,Mar 14
Gambia,3,,1.0,,,2,,1.0,0.4,Mar 16
Bhutan,3,,,,,3,,4.0,,Mar 05
CAR,3,,,,,3,,0.6,,Mar 14
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Libya,3,2.0,,,,3,,0.4,,Mar 23
Saint Lucia,3,,,,1.0,2,,16.0,,Mar 12
Sint Maarten,3,,,,,3,,70.0,,Mar 17
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
Belize,2,,,,,2,,5.0,,Mar 22
British Virgin Islands,2,,,,,2,,66.0,,Mar 24
Guinea-Bissau,2,,,,,2,,1.0,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38.0,,Mar 24
Turks and Caicos,2,,,,,2,,52.0,,Mar 22
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,,1,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81394,54.0,3295.0,3.0,74971.0,3128,886.0,57.0,2.0,Jan 10
Total:,650913,54601.0,30299.0,2957.0,139555.0,481059,25226.0,83.5,3.9,
