"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case
Qatar,693,,1.0,,51.0,641,6.0,241.0,0.3,Feb 28
Hong Kong,683,,4.0,,118.0,561,5.0,91.0,0.5,Jan 22
Egypt,656,,41.0,,150.0,465,,6.0,0.4,Feb 13
New Zealand,647,58.0,1.0,,74.0,572,2.0,134.0,0.2,Feb 27
Iraq,630,,46.0,,152.0,432,,16.0,1.0,Feb 21
UAE,611,,5.0,,61.0,545,2.0,62.0,0.5,Jan 28
Algeria,584,,35.0,,37.0,512,,13.0,0.8,Feb 24
Morocco,556,,33.0,,15.0,508,1.0,15.0,0.9,Mar 01
Ukraine,549,1.0,13.0,,8.0,528,,13.0,0.3,Mar 02
Lithuania,533,42.0,7.0,,7.0,519,27.0,196.0,3.0,Feb 27
Bahrain,515,,4.0,,295.0,216,2.0,303.0,2.0,Feb 23
Hungary,492,45.0,16.0,1.0,37.0,439,6.0,51.0,2.0,Mar 03
Armenia,482,,3.0,,30.0,449,15.0,163.0,1.0,Feb 29
Lebanon,446,,11.0,,35.0,400,3.0,65.0,2.0,Feb 20
Latvia,398,22.0,,,1.0,397,3.0,211.0,,Mar 01
Bosnia and Herzegovina,379,11.0,10.0,,17.0,352,1.0,116.0,3.0,Mar 04
Bulgaria,379,20.0,8.0,,17.0,354,13.0,55.0,1.0,Mar 06
Andorra,370,,8.0,,10.0,352,10.0,4789.0,104.0,Mar 01
Tunisia,362,,9.0,,3.0,350,10.0,31.0,0.8,Mar 01
Slovakia,336,,,,7.0,329,1.0,62.0,,Mar 05
Costa Rica,330,,2.0,,4.0,324,7.0,65.0,0.4,Mar 04
Kazakhstan,325,23.0,2.0,1.0,22.0,301,,17.0,0.1,Mar 12
Taiwan,322,16.0,5.0,,39.0,278,,14.0,0.2,Jan 20
Uruguay,320,,1.0,,25.0,294,9.0,92.0,0.3,Mar 12
Moldova,298,,2.0,,15.0,281,44.0,74.0,0.5,Mar 06
North Macedonia,285,,7.0,,12.0,266,1.0,137.0,3.0,Feb 25
Azerbaijan,273,,4.0,,26.0,243,23.0,27.0,0.4,Feb 27
Jordan,268,,5.0,,26.0,237,3.0,26.0,0.5,Mar 01
Kuwait,266,,,,72.0,194,13.0,62.0,,Feb 23
Burkina Faso,246,,12.0,,31.0,203,,12.0,0.6,Mar 08
San Marino,230,,25.0,,13.0,192,16.0,6778.0,737.0,Feb 26
Cyprus,230,,7.0,,22.0,201,3.0,190.0,6.0,Mar 08
Réunion,224,,,,1.0,223,,250.0,,Mar 10
Albania,223,,11.0,,44.0,168,7.0,77.0,4.0,Mar 07
Vietnam,204,,,,55.0,149,3.0,2.0,,Jan 22
Cameroon,193,54.0,6.0,,5.0,182,,7.0,0.2,Mar 05
Oman,179,,,,29.0,150,3.0,35.0,,Feb 23
Afghanistan,170,,4.0,,2.0,164,,4.0,0.1,Feb 23
Cuba,170,,4.0,,4.0,162,2.0,15.0,0.4,Mar 10
Faeroe Islands,169,1.0,,,74.0,95,3.0,3459.0,,Mar 03
Ivory Coast,168,,1.0,,6.0,161,,6.0,0.04,Mar 10
Senegal,162,,,,27.0,135,,10.0,,Mar 01
Uzbekistan,158,9.0,2.0,,7.0,149,8.0,5.0,0.06,Mar 14
Malta,156,,,,2.0,154,4.0,353.0,,Mar 06
Ghana,152,,5.0,,2.0,145,1.0,5.0,0.2,Mar 11
Belarus,152,,,,47.0,105,2.0,16.0,,Feb 27
Honduras,141,2.0,7.0,,3.0,131,4.0,14.0,0.7,Mar 10
Channel Islands,141,,3.0,1.0,,138,,811.0,17.0,Mar 08
Venezuela,135,,3.0,,39.0,93,6.0,5.0,0.1,Mar 12
Nigeria,131,,2.0,,8.0,121,,0.6,0.01,Feb 27
Mauritius,128,,3.0,,,125,1.0,101.0,2.0,Mar 17
Brunei,127,,1.0,,38.0,88,3.0,290.0,2.0,Mar 08
Sri Lanka,122,,2.0,,16.0,104,5.0,6.0,0.09,Jan 26
Palestine,117,,1.0,,18.0,98,,23.0,0.2,Mar 04
Georgia,108,5.0,,,21.0,87,6.0,27.0,,Feb 25
Bolivia,107,10.0,6.0,2.0,,101,3.0,9.0,0.5,Mar 09
Cambodia,107,,,,21.0,86,1.0,6.0,,Jan 26
Kyrgyzstan,107,13.0,,,3.0,104,,16.0,,Mar 17
Guadeloupe,106,,4.0,,17.0,85,10.0,265.0,10.0,Mar 12
Montenegro,105,14.0,1.0,,,104,1.0,167.0,2.0,Mar 16
Martinique,93,,1.0,,,92,12.0,248.0,3.0,Mar 04
Trinidad and Tobago,85,2.0,3.0,,1.0,81,,61.0,2.0,Mar 11
Mayotte,82,,,,10.0,72,3.0,301.0,,Mar 13
DRC,81,,8.0,,2.0,71,,0.9,0.09,Mar 09
Rwanda,70,,,,,70,,5.0,,Mar 13
Gibraltar,69,,,,34.0,35,,2048.0,,Mar 02
Paraguay,65,1.0,3.0,,1.0,61,3.0,9.0,0.4,Mar 06
Liechtenstein,64,2.0,,,,64,,1679.0,,Mar 02
Kenya,50,,1.0,,1.0,48,2.0,0.9,0.02,Mar 12
Aruba,50,,,,1.0,49,,468.0,,Mar 12
Bangladesh,49,,5.0,,19.0,25,1.0,0.3,0.03,Mar 07
Monaco,49,,1.0,,1.0,47,,1249.0,25.0,Feb 27
Isle of Man,49,,,,,49,,576.0,,Mar 18
Madagascar,46,3.0,,,,46,6.0,2.0,,Mar 19
French Guiana,43,,,,6.0,37,,144.0,,Mar 06
Macao,38,,,,10.0,28,,59.0,,Jan 21
Guatemala,36,,1.0,,10.0,25,1.0,2.0,0.06,Mar 12
Jamaica,36,,1.0,,2.0,33,,12.0,0.3,Mar 09
French Polynesia,36,,,,,36,2.0,128.0,,Mar 10
Zambia,35,,,,,35,,2.0,,Mar 17
Barbados,34,1.0,,,,34,,118.0,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
El Salvador,32,2.0,,,,32,5.0,5.0,,Mar 18
Togo,30,,1.0,,1.0,28,,4.0,0.1,Mar 05
Niger,27,,3.0,,,24,,1.0,0.1,Mar 18
Bermuda,27,,,,2.0,25,,434.0,,Mar 17
Mali,25,,2.0,,,23,,1.0,0.1,Mar 24
Ethiopia,23,,,,4.0,19,1.0,0.2,,Mar 12
Guinea,22,,,,,22,,2.0,,Mar 12
Tanzania,19,,1.0,1.0,1.0,17,,0.3,0.02,Mar 15
Congo,19,,,,,19,,3.0,,Mar 14
Djibouti,18,,,,,18,,18.0,,Mar 17
Maldives,18,1.0,,,13.0,5,,33.0,,Mar 06
Gabon,16,9.0,1.0,,,15,,7.0,0.4,Mar 12
Saint Martin,15,,1.0,,2.0,12,,388.0,26.0,Feb 29
Eritrea,15,,,,,15,,4.0,,Mar 20
Haiti,15,,,,1.0,14,,1.0,,Mar 19
New Caledonia,15,,,,,15,,53.0,,Mar 17
Myanmar,14,,1.0,1.0,,13,,0.3,0.02,Mar 22
Bahamas,14,,,,1.0,13,,36.0,,Mar 14
Cayman Islands,12,,1.0,,,11,,183.0,15.0,Mar 12
Dominica,12,,,,,12,,167.0,,Mar 21
Equatorial Guinea,12,,,,,12,,9.0,,Mar 13
Mongolia,12,,,,2.0,10,,4.0,,Mar 09
Curaçao,11,,1.0,,2.0,8,,67.0,6.0,Mar 12
Namibia,11,,,,2.0,9,,4.0,,Mar 13
Syria,10,,2.0,,,8,,0.6,0.1,Mar 21
Greenland,10,,,,2.0,8,,176.0,,Mar 15
Seychelles,10,2.0,,,,10,,102.0,,Mar 13
Grenada,9,,,,,9,,80.0,,Mar 21
Laos,9,1.0,,,,9,,1.0,,Mar 23
Saint Lucia,9,,,,1.0,8,,49.0,,Mar 12
Eswatini,9,,,,,9,,8.0,,Mar 13
Guyana,8,,1.0,,,7,,10.0,1.0,Mar 11
Zimbabwe,8,1.0,1.0,,,7,,0.5,0.07,Mar 19
Guinea-Bissau,8,,,,,8,,4.0,,Mar 24
Libya,8,,,,,8,,1.0,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Suriname,8,,,,,8,,14.0,,Mar 12
Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19
Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12
Saint Kitts and Nevis,7,,,,,7,,132.0,,Mar 24
Sudan,6,,2.0,,,4,,0.1,0.05,Mar 12
Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19
Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491.0,,Mar 05
St. Barth,6,,,,1.0,5,,607.0,,Feb 29
Sint Maarten,6,,,,,6,,140.0,,Mar 17
Nepal,5,,,,1.0,4,,0.2,,Jan 23
Chad,5,,,,,5,,0.3,,Mar 18
Fiji,5,,,,,5,,6.0,,Mar 18
Montserrat,5,,,,,5,,1002.0,,Mar 17
Turks and Caicos,5,,,,,5,,129.0,,Mar 22
Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16
Nicaragua,4,,1.0,,,3,,0.6,0.2,Mar 18
Bhutan,4,,,,,4,,5.0,,Mar 05
Belize,3,,,,,3,,8.0,,Mar 22
Botswana,3,,,,,3,,1.0,,Mar 29
British Virgin Islands,3,1.0,,,,3,,99.0,,Mar 24
CAR,3,,,,,3,,0.6,,Mar 14
Liberia,3,,,,,3,,0.6,,Mar 15
Somalia,3,,,,1.0,2,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133.0,,Mar 25
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81518,79.0,3305.0,5.0,76052.0,2161,528.0,57.0,2.0,Jan 10
Total:,786907,2192.0,37840.0,57.0,165932.0,583135,29541.0,101.0,4.9,
